ID,Section,Page Type,Proposed URL,Proposed Page Name,Parent Pillar,Primary Keyword,Secondary Keywords,Search Intent,Buyer Stage,Geographic Focus,Commercial Value,Content Difficulty,Business Verification Required,Required Assets,Internal Links In,Internal Links Out,CTA,Schema Type,Indexation Status,Sitemap Status,Priority,Phase,Notes
HOME-001,Home,Homepage,/,Aero Carbon Tech Homepage,Root,carbon fiber products OEM,"carbon fiber sheets; tubes; CNC parts",Transactional,RFQ,Middle East / GCC,High,High,No,"Existing audited assets",Global,Products; Capabilities; Applications; RFQ,Send RFQ,Organization/WebSite candidate,INDEX NOW,INCLUDE,High,0,Protected production baseline
PROD-001,Products,Pillar,/products/,Carbon Fiber Products,Home,carbon fiber products,"sheets; plates; tubes; custom parts",Commercial Investigation,Consideration,Global / GCC,High,High,Yes,"Verified taxonomy; product photos",Home; Resources,Product pillars; Applications; RFQ,Request Product Quote,BreadcrumbList,INDEX AFTER CONTENT COMPLETE,EXCLUDE UNTIL QA,High,1,Do not create duplicate of homepage product section
PROD-002,Products,Pillar,/products/carbon-fiber-sheets/,Carbon Fiber Sheets,Products,carbon fiber sheets,"carbon fiber plate; custom sheet; 3K sheet",Transactional,Supplier Evaluation,Global / GCC,Very High,High,Yes,"Verified sizes; thicknesses; finishes; photos; QC",Products; Resources; Applications,Thickness; Weave; CNC; Applications; RFQ,Request Sheet Quote,Product only if verified,INDEX AFTER CONTENT COMPLETE,EXCLUDE UNTIL QA,Critical,1,Primary product pillar
PROD-003,Products,Product,/products/carbon-fiber-plates/,Carbon Fiber Plates,Carbon Fiber Sheets,carbon fiber plates,"CNC plate; structural plate",Transactional,Supplier Evaluation,Global / GCC,High,High,Yes,"Distinct plate specs; images",Sheets; Applications,CNC; Thickness; RFQ,Request Plate Quote,Product if verified,NEEDS BUSINESS VERIFICATION,EXCLUDE,Medium,2,Combine with sheets if intent/specs overlap
PROD-004,Products,Product,/products/carbon-fiber-sheets/1mm/,1 mm Carbon Fiber Sheet,Carbon Fiber Sheets,1mm carbon fiber sheet,"thin carbon sheet",Transactional,RFQ,Global,Medium,Medium,Yes,"Supply confirmation; specs; images",Sheets,Selection; RFQ,Request Quote,Product if verified,NEEDS BUSINESS VERIFICATION,EXCLUDE,Low,2,Do not create until genuine supply and unique content
PROD-005,Products,Product,/products/carbon-fiber-sheets/1-5mm/,1.5 mm Carbon Fiber Sheet,Carbon Fiber Sheets,1.5mm carbon fiber sheet,"carbon plate thickness",Transactional,RFQ,Global,Medium,Medium,Yes,"Supply confirmation; specs; images",Sheets,Thickness guide; RFQ,Request Quote,Product if verified,NEEDS BUSINESS VERIFICATION,EXCLUDE,Low,2,URL uses hyphen for decimal
PROD-006,Products,Product,/products/carbon-fiber-sheets/2mm/,2 mm Carbon Fiber Sheet,Carbon Fiber Sheets,2mm carbon fiber sheet,"2 mm carbon plate",Transactional,RFQ,Global,Medium,Medium,Yes,"Supply confirmation; specs; images",Sheets,Thickness guide; RFQ,Request Quote,Product if verified,NEEDS BUSINESS VERIFICATION,EXCLUDE,Low,2,Potentially consolidate as selectable variation
PROD-007,Products,Product,/products/carbon-fiber-sheets/3mm/,3 mm Carbon Fiber Sheet,Carbon Fiber Sheets,3mm carbon fiber sheet,"3 mm carbon plate",Transactional,RFQ,Global,Medium,Medium,Yes,"Supply confirmation; specs; images",Sheets,Thickness guide; RFQ,Request Quote,Product if verified,NEEDS BUSINESS VERIFICATION,EXCLUDE,Low,2,Potentially consolidate as selectable variation
PROD-008,Products,Product,/products/carbon-fiber-sheets/4mm/,4 mm Carbon Fiber Sheet,Carbon Fiber Sheets,4mm carbon fiber sheet,"4 mm carbon plate",Transactional,RFQ,Global,Medium,Medium,Yes,"Supply confirmation; specs; images",Sheets,Thickness guide; RFQ,Request Quote,Product if verified,NEEDS BUSINESS VERIFICATION,EXCLUDE,Low,2,Potentially consolidate as selectable variation
PROD-009,Products,Product,/products/carbon-fiber-sheets/5mm/,5 mm Carbon Fiber Sheet,Carbon Fiber Sheets,5mm carbon fiber sheet,"5 mm carbon plate",Transactional,RFQ,Global,Medium,Medium,Yes,"Supply confirmation; specs; images",Sheets,Thickness guide; RFQ,Request Quote,Product if verified,NEEDS BUSINESS VERIFICATION,EXCLUDE,Low,2,Potentially consolidate as selectable variation
